Phrenic activation, Abdominal activation, %VC/s, %VC, Pressure (cmH20), timestep, lma (0-1), Pab, Pdi, PL, Pressure-PL
0.5,0.065337,-14.9368,17.4025,-0.910163,0.0725,0.875782,3.49686,9.05635,4.64933,-5.55949
0.5,0.065337,-14.9982,17.41,-0.914355,0.073,0.877544,3.50714,9.07282,4.65133,-5.56569
0.5,0.065337,-15.0594,17.4175,-0.91855,0.0735,0.879281,3.51735,9.08924,4.65334,-5.57189
0.5,0.065337,-15.1204,17.4251,-0.922748,0.074,0.880993,3.5275,9.10561,4.65536,-5.57811
0.5,0.065337,-15.1813,17.4327,-0.926948,0.0745,0.882681,3.53759,9.12193,4.65739,-5.58434
0.5,0.065337,-15.242,17.4403,-0.931151,0.075,0.884345,3.54762,9.1382,4.65942,-5.59057
0.5,0.065337,-15.3025,17.4479,-0.935357,0.0755,0.885985,3.55759,9.15441,4.66146,-5.59682
0.5,0.065337,-15.3628,17.4556,-0.939565,0.076,0.887603,3.5675,9.17058,4.66351,-5.60308
0.5,0.065337,-15.423,17.4633,-0.943774,0.0765,0.889197,3.57735,9.1867,4.66557,-5.60935
0.5,0.065337,-15.483,17.4711,-0.947987,0.077,0.890768,3.58715,9.20277,4.66764,-5.61563
0.5,0.065337,-15.5429,17.4788,-0.952201,0.0775,0.892318,3.59688,9.2188,4.66972,-5.62192
0.5,0.065337,-15.6025,17.4866,-0.956417,0.078,0.893845,3.60656,9.23477,4.6718,-5.62822
0.5,0.065337,-15.662,17.4944,-0.960635,0.0785,0.895351,3.61618,9.2507,4.67389,-5.63452
0.5,0.065337,-15.7214,17.5023,-0.964855,0.079,0.896835,3.62574,9.26659,4.67599,-5.64084
0.5,0.065337,-15.7806,17.5102,-0.969076,0.0795,0.898299,3.63525,9.28242,4.67809,-5.64717
0.5,0.065337,-15.8396,17.5181,-0.973299,0.08,0.899741,3.64471,9.29822,4.68021,-5.65351
0.5,0.065337,-15.8985,17.526,-0.977523,0.0805,0.901163,3.65411,9.31396,4.68233,-5.65985
0.5,0.065337,-15.9572,17.534,-0.981749,0.081,0.902565,3.66346,9.32967,4.68446,-5.66621
0.5,0.065337,-16.0157,17.542,-0.985976,0.0815,0.903947,3.67275,9.34533,4.6866,-5.67258
0.5,0.065337,-16.0741,17.5501,-0.990204,0.082,0.90531,3.68199,9.36094,4.68875,-5.67895
0.5,0.065337,-16.1323,17.5581,-0.994433,0.0825,0.906653,3.69118,9.37651,4.6909,-5.68533
0.5,0.065337,-16.1904,17.5662,-0.998663,0.083,0.907977,3.70032,9.39204,4.69306,-5.69172
0.5,0.065337,-16.2483,17.5743,-1.00289,0.0835,0.909282,3.7094,9.40752,4.69523,-5.69812
0.5,0.065337,-16.306,17.5825,-1.00713,0.084,0.910569,3.71844,9.42297,4.69741,-5.70453
0.5,0.065337,-16.3636,17.5906,-1.01136,0.0845,0.911837,3.72742,9.43837,4.69959,-5.71095
0.5,0.065337,-16.4211,17.5989,-1.01559,0.085,0.913088,3.73636,9.45373,4.70178,-5.71737
0.5,0.065337,-16.4784,17.6071,-1.01982,0.0855,0.914321,3.74524,9.46905,4.70398,-5.72381
0.5,0.065337,-16.5355,17.6154,-1.02406,0.086,0.915536,3.75408,9.48433,4.70619,-5.73025
0.5,0.065337,-16.5925,17.6236,-1.02829,0.0865,0.916734,3.76287,9.49956,4.70841,-5.7367
0.5,0.065337,-16.6493,17.632,-1.03253,0.087,0.917915,3.77161,9.51476,4.71063,-5.74315
0.5,0.065337,-16.7059,17.6403,-1.03676,0.0875,0.919079,3.7803,9.52992,4.71286,-5.74962
0.5,0.065337,-16.7625,17.6487,-1.04099,0.088,0.920227,3.78895,9.54504,4.7151,-5.75609
0.5,0.065337,-16.8188,17.6571,-1.04523,0.0885,0.921359,3.79755,9.56012,4.71734,-5.76257
0.5,0.065337,-16.875,17.6655,-1.04946,0.089,0.922474,3.8061,9.57516,4.7196,-5.76906
0.5,0.065337,-16.9311,17.674,-1.05369,0.0895,0.923574,3.81461,9.59016,4.72186,-5.77555
0.5,0.065337,-16.987,17.6825,-1.05793,0.09,0.924658,3.82307,9.60512,4.72412,-5.78205
0.5,0.065337,-17.0427,17.691,-1.06216,0.0905,0.925726,3.83149,9.62005,4.7264,-5.78856
0.5,0.065337,-17.0984,17.6995,-1.06639,0.091,0.92678,3.83987,9.63494,4.72868,-5.79507
0.5,0.065337,-17.1538,17.7081,-1.07062,0.0915,0.927818,3.8482,9.64979,4.73097,-5.80159
0.5,0.065337,-17.2091,17.7167,-1.07485,0.092,0.928842,3.85649,9.6646,4.73327,-5.80812
0.5,0.065337,-17.2643,17.7253,-1.07908,0.0925,0.929852,3.86473,9.67938,4.73557,-5.81465
0.5,0.065337,-17.3193,17.734,-1.0833,0.093,0.930847,3.87293,9.69412,4.73789,-5.82119
0.5,0.065337,-17.3741,17.7427,-1.08753,0.0935,0.931828,3.88109,9.70883,4.74021,-5.82774
0.5,0.065337,-17.4288,17.7514,-1.09176,0.094,0.932794,3.88921,9.7235,4.74253,-5.83429
0.5,0.065337,-17.4833,17.7601,-1.09598,0.0945,0.933748,3.89729,9.73813,4.74487,-5.84084
0.5,0.065337,-17.5377,17.7689,-1.1002,0.095,0.934687,3.90532,9.75273,4.74721,-5.84741
0.5,0.065337,-17.592,17.7777,-1.10442,0.0955,0.935614,3.91332,9.7673,4.74956,-5.85398
0.5,0.065337,-17.6461,17.7865,-1.10864,0.096,0.936527,3.92127,9.78183,4.75191,-5.86055
0.5,0.065337,-17.7,17.7953,-1.11286,0.0965,0.937427,3.92919,9.79632,4.75428,-5.86713
0.5,0.065337,-17.7538,17.8042,-1.11707,0.097,0.938315,3.93707,9.81078,4.75665,-5.87372
0.5,0.065337,-17.8075,17.8131,-1.12128,0.0975,0.93919,3.9449,9.82521,4.75902,-5.88031
0.5,0.065337,-17.861,17.822,-1.12549,0.098,0.940052,3.9527,9.8396,4.76141,-5.8869
0.5,0.065337,-17.9144,17.831,-1.1297,0.0985,0.940903,3.96046,9.85396,4.7638,-5.8935
0.5,0.065337,-17.9676,17.84,-1.13391,0.099,0.941741,3.96818,9.86829,4.7662,-5.90011
0.5,0.065337,-18.0206,17.849,-1.13811,0.0995,0.942567,3.97586,9.88258,4.7686,-5.90672
0.5,0.065337,-18.0735,17.858,-1.14232,0.1,0.943382,3.98351,9.89684,4.77102,-5.91333
0.5,0.065337,-18.1263,17.8671,-1.14651,0.1005,0.944185,3.99112,9.91107,4.77344,-5.91995
0.5,0.065337,-18.1789,17.8761,-1.15071,0.101,0.944977,3.99869,9.92527,4.77586,-5.92657
0.5,0.065337,-18.2314,17.8853,-1.1549,0.1015,0.945757,4.00623,9.93943,4.7783,-5.9332
0.5,0.065337,-18.2837,17.8944,-1.15909,0.102,0.946527,4.01373,9.95356,4.78074,-5.93983
0.5,0.065337,-18.3358,17.9036,-1.16328,0.1025,0.947285,4.02119,9.96766,4.78319,-5.94647
0.5,0.065337,-18.3878,17.9127,-1.16747,0.103,0.948033,4.02862,9.98173,4.78564,-5.95311
0.5,0.065337,-18.4397,17.922,-1.17165,0.1035,0.94877,4.03602,9.99577,4.7881,-5.95975
0.5,0.065337,-18.4914,17.9312,-1.17583,0.104,0.949497,4.04338,10.0098,4.79057,-5.9664
0.5,0.065337,-18.543,17.9405,-1.18,0.1045,0.950213,4.0507,10.0238,4.79305,-5.97305
0.5,0.065337,-18.5944,17.9498,-1.18417,0.105,0.950919,4.058,10.0377,4.79553,-5.9797
0.5,0.065337,-18.6457,17.9591,-1.18834,0.1055,0.951615,4.06525,10.0516,4.79802,-5.98636
0.5,0.065337,-18.6968,17.9684,-1.1925,0.106,0.952302,4.07248,10.0655,4.80052,-5.99302
0.5,0.065337,-18.7478,17.9778,-1.19667,0.1065,0.952978,4.07967,10.0794,4.80302,-5.99969
0.5,0.065337,-18.7986,17.9872,-1.20082,0.107,0.953645,4.08683,10.0932,4.80553,-6.00635
0.5,0.065337,-18.8493,17.9966,-1.20498,0.1075,0.954303,4.09396,10.107,4.80805,-6.01302
0.5,0.065337,-18.8998,18.006,-1.20912,0.108,0.954951,4.10105,10.1207,4.81057,-6.0197
0.5,0.065337,-18.9502,18.0155,-1.21327,0.1085,0.95559,4.10811,10.1345,4.8131,-6.02637
0.5,0.065337,-19.0005,18.025,-1.21741,0.109,0.95622,4.11514,10.1482,4.81564,-6.03305
0.5,0.065337,-19.0506,18.0345,-1.22155,0.1095,0.956841,4.12214,10.1619,4.81818,-6.03973
0.5,0.065337,-19.1005,18.0441,-1.22568,0.11,0.957453,4.12911,10.1755,4.82073,-6.04641
0.5,0.065337,-19.1503,18.0536,-1.22981,0.1105,0.958056,4.13605,10.1891,4.82329,-6.0531
0.5,0.065337,-19.1999,18.0632,-1.23393,0.111,0.958651,4.14295,10.2027,4.82585,-6.05978
0.5,0.065337,-19.2494,18.0729,-1.23805,0.1115,0.959238,4.14983,10.2163,4.82842,-6.06647
0.5,0.065337,-19.2988,18.0825,-1.24217,0.112,0.959816,4.15668,10.2298,4.831,-6.07317
0.5,0.065337,-19.348,18.0922,-1.24628,0.1125,0.960386,4.16349,10.2434,4.83358,-6.07986
0.5,0.065337,-19.397,18.1019,-1.25038,0.113,0.960948,4.17028,10.2568,4.83617,-6.08655
0.5,0.065337,-19.4459,18.1116,-1.25448,0.1135,0.961502,4.17704,10.2703,4.83877,-6.09325
0.5,0.065337,-19.4947,18.1213,-1.25858,0.114,0.962048,4.18377,10.2837,4.84137,-6.09995
0.5,0.065337,-19.5433,18.1311,-1.26267,0.1145,0.962586,4.19047,10.2971,4.84398,-6.10665
0.5,0.065337,-19.5917,18.1409,-1.26675,0.115,0.963117,4.19714,10.3105,4.8466,-6.11335
0.5,0.065337,-19.6401,18.1507,-1.27083,0.1155,0.96364,4.20378,10.3238,4.84922,-6.12005
0.5,0.065337,-19.6882,18.1605,-1.27491,0.116,0.964156,4.2104,10.3372,4.85185,-6.12676
0.5,0.065337,-19.7362,18.1704,-1.27898,0.1165,0.964664,4.21699,10.3505,4.85448,-6.13346
0.5,0.065337,-19.7841,18.1803,-1.28304,0.117,0.965165,4.22355,10.3637,4.85712,-6.14017
0.5,0.065337,-19.8318,18.1902,-1.2871,0.1175,0.965659,4.23009,10.377,4.85977,-6.14687
0.5,0.065337,-19.8794,18.2001,-1.29115,0.118,0.966147,4.23659,10.3902,4.86243,-6.15358
0.5,0.065337,-19.9268,18.2101,-1.2952,0.1185,0.966627,4.24307,10.4034,4.86509,-6.16029
0.5,0.065337,-19.9741,18.2201,-1.29924,0.119,0.9671,4.24953,10.4165,4.86775,-6.167
0.5,0.065337,-20.0212,18.2301,-1.30328,0.1195,0.967567,4.25596,10.4297,4.87043,-6.17371
0.5,0.065337,-20.0682,18.2401,-1.30731,0.12,0.968027,4.26236,10.4428,4.87311,-6.18042
0.5,0.065337,-20.1151,18.2502,-1.31133,0.1205,0.96848,4.26873,10.4559,4.87579,-6.18713
0.5,0.065337,-20.1617,18.2603,-1.31535,0.121,0.968927,4.27508,10.4689,4.87849,-6.19384
